ID,Marca,Modelo,Precio,Anio,Kilometraje,Comustible,Transmision,Color,Motor
1,Honda,Amaze 1.2 VX i-VTEC,140000,2017,87150,Petrol,Manual,Grey,1198 cc
2,Maruti Suzuki,Swift DZire VDI,140000,2014,75000,Diesel,Manual,White,1248 cc
3,Hyundai,i10 Magna 1.2 Kappa2,80000,2011,67000,Petrol,Manual,Maroon,1197 cc
4,Toyota,Glanza G,200000,2019,37500,Petrol,Manual,Red,1197 cc
5,Toyota,Innova 2.4 VX 7 STR [2016-2020],140000,2018,69000,Diesel,Manual,Grey,2393 cc
6,Maruti Suzuki,Ciaz ZXi,140000,2017,73315,Petrol,Manual,Grey,1373 cc
7,Mercedes-Benz,CLA 200 Petrol Sport,140000,2015,47000,Petrol,Automatic,White,1991 cc
8,BMW,X1 xDrive20d M Sport,140000,2017,75000,Diesel,Automatic,White,1995 cc
9,Skoda,Octavia 1.8 TSI Style Plus AT [2017],140000,2017,56000,Petrol,Automatic,White,1798 cc
10,Nissan,Terrano XL (D),140000,2015,85000,Diesel,Manual,White,1461 cc
11,Hyundai,Elite i20 Sportz 1.2,140000,2017,20281,Petrol,Manual,Red,1197 cc
12,Renault,Kwid 1.0 RXT [2016-2019],140000,2018,22541,Petrol,Manual,Grey,999 cc
13,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],200000,2019,30672,Petrol,Automatic,Blue,1462 cc
14,Tata,Harrier XZ [2019-2020],200000,2019,20856,Diesel,Manual,Orange,1956 cc
15,Volkswagen,Polo GT TSI,140000,2017,41417,Petrol,Automatic,Grey,1197 cc
16,Maruti Suzuki,Celerio ZXi AMT [2019-2020],140000,2016,11471,Petrol,Automatic,Red,998 cc
17,Maruti Suzuki,Alto 800 LXi (O),200000,2019,3583,Petrol,Manual,Grey,796 cc
18,Maruti Suzuki,Baleno Alpha Automatic,140000,2018,21365,Petrol,Automatic,Grey,1197 cc
19,Maruti Suzuki,Wagon R ZXi 1.2 AMT,200000,2020,30777,Petrol,Automatic,White,1197 cc
20,Hyundai,Creta 1.6 E Petrol,140000,2016,60125,Petrol,Manual,Silver,1591 cc
21,Maruti Suzuki,S-Presso VXi AMT,200000,2020,2169,Petrol,Automatic,Grey,998 cc
22,Volkswagen,Vento Comfortline Petrol AT,140000,2015,60240,Petrol,Automatic,Brown,1197 cc
23,Hyundai,Santro Sportz AMT [2018-2020],140000,2018,13772,Petrol,Automatic,White,1086 cc
24,Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],200000,2019,27464,Petrol,Manual,Blue,998 cc
25,Maruti Suzuki,Alto LXi CNG,200000,2019,47377,CNG,Manual,Grey,998 cc
26,Maruti Suzuki,Ritz Zxi BS-IV,140000,2013,23086,Petrol,Manual,Grey,1197 cc
27,Hyundai,Creta 1.6 SX Plus Petrol,200000,2019,36313,Petrol,Manual,Grey,1591 cc
28,Honda,Brio V MT,140000,2014,39276,Petrol,Manual,Red,1198 cc
29,Hyundai,Elite i20 Asta 1.2,140000,2015,47752,Petrol,Manual,White,1197 cc
30,Honda,WR-V VX MT Petrol,140000,2018,27963,Petrol,Manual,White,1199 cc
31,Hyundai,Venue SX 1.0 Turbo iMT,200000,2020,24013,Petrol,Manual,Blue,998 cc
32,Hyundai,Creta 1.6 SX Plus AT,140000,2016,66000,Diesel,Automatic,Black,1582 cc
33,Ford,Ecosport Titanium+ 1.0L EcoBoost,140000,2015,28000,Petrol,Manual,Silver,999 cc
34,Honda,CR-V 2.4 AT,140000,2013,67000,Petrol,Automatic,Brown,No_info
35,Hyundai,Santro GL (CNG),80000,2009,72000,CNG,Manual,Silver,1086 cc
36,Tata,Tiago Revotron XE [2016-2019],140000,2018,27069,Petrol,Manual,White,1199 cc
37,Tata,Tigor Revotorq XT,140000,2018,43000,Diesel,Manual,White,1047 cc
38,Toyota,Innova 2.4 G 8 STR [2016-2017],200000,2019,71000,Diesel,Manual,Bronze,2393 cc
39,Mercedes-Benz,GLC 220 d Progressive,140000,2017,45600,Diesel,Automatic,Black,2143 cc
40,Hyundai,Creta SX 1.6 CRDi (O),140000,2018,60000,Diesel,Manual,White,1582 cc
